a,omega,l,m,lambda,nu_real,nu_imag,|B_ref/B_inc|
0.0000000000e+00,1.0000000000e-01,2,2,4.0000000000e+00,1.9793154547e+00,-1.2363788450e-20,6.6583397264e-05
0.0000000000e+00,1.0000000000e-01,3,2,1.0000000000e+01,2.9875539197e+00,-1.5561596322e-20,1.3332666716e-05
0.0000000000e+00,1.0000000000e-01,3,3,1.0000000000e+01,2.9875539197e+00,-1.5561596322e-20,1.3332666716e-05
0.0000000000e+00,1.0000000000e-01,4,4,1.8000000000e+01,3.9909066870e+00,3.9281299405e-23,4.4444197533e-06
0.0000000000e+00,2.0000000000e-01,2,2,4.0000000000e+00,1.9129832303e+00,-4.6227339760e-20,1.0610294002e-03
0.0000000000e+00,2.0000000000e-01,3,2,1.0000000000e+01,2.9493926000e+00,-1.2634653388e-19,2.1329067588e-04
0.0000000000e+00,2.0000000000e-01,3,3,1.0000000000e+01,2.9493926000e+00,-1.2634653388e-19,2.1329067588e-04
0.0000000000e+00,2.0000000000e-01,4,4,1.8000000000e+01,3.9633125579e+00,9.7333118106e-20,7.1109530917e-05
0.0000000000e+00,3.0000000000e-01,2,2,4.0000000000e+00,2.0000000037e+00,-4.3606275515e-10,4.0233693640e-03
0.0000000000e+00,3.0000000000e-01,3,2,1.0000000000e+01,2.8826746175e+00,-1.5158526023e-18,1.0795130861e-03
0.0000000000e+00,3.0000000000e-01,3,3,1.0000000000e+01,2.8826746175e+00,-1.5158526023e-18,1.0795130861e-03
0.0000000000e+00,3.0000000000e-01,4,4,1.8000000000e+01,3.9162073870e+00,0.0000000000e+00,3.5998200140e-04
0.0000000000e+00,4.0000000000e-01,2,2,4.0000000000e+00,2.0000000047e+00,2.3121660661e-10,1.1810821027e-02
0.0000000000e+00,4.0000000000e-01,3,2,1.0000000000e+01,2.7808188833e+00,1.0834321475e-18,3.4105242095e-03
0.0000000000e+00,4.0000000000e-01,3,3,1.0000000000e+01,2.7808188833e+00,1.0834321475e-18,3.4105242095e-03
0.0000000000e+00,4.0000000000e-01,4,4,1.8000000000e+01,3.8476404711e+00,-7.9781318454e-19,1.1376766885e-03
0.0000000000e+00,5.0000000000e-01,2,2,4.0000000000e+00,1.9999999998e+00,-2.1747772817e-11,2.4320990006e-02
0.0000000000e+00,5.0000000000e-01,3,2,1.0000000000e+01,2.9999999997e+00,-5.3134650791e-09,7.3436919675e-03
0.0000000000e+00,5.0000000000e-01,3,3,1.0000000000e+01,2.9999999997e+00,-5.3134650791e-09,7.3436919675e-03
0.0000000000e+00,5.0000000000e-01,4,4,1.8000000000e+01,3.7541144605e+00,3.3142269937e-18,2.7773991370e-03
3.0000000000e-01,1.0000000000e-01,2,2,3.8002365105e+00,1.9797315746e+00,-2.1670915130e-20,6.9300245001e-05
3.0000000000e-01,1.0000000000e-01,3,2,9.8405333707e+00,2.9876491122e+00,-3.1048251365e-20,1.3602433401e-05
3.0000000000e-01,1.0000000000e-01,3,3,9.7604486473e+00,2.9876954757e+00,1.2352289308e-19,1.3739695746e-05
3.0000000000e-01,1.0000000000e-01,4,4,1.7712576383e+01,3.9909840399e+00,-1.5880691526e-36,4.5526256136e-06
3.0000000000e-01,2.0000000000e-01,2,2,3.6009397245e+00,1.9169059124e+00,-2.2085193423e-20,1.1491659759e-03
3.0000000000e-01,2.0000000000e-01,3,2,9.6821335748e+00,2.9502026204e+00,-3.1605811828e-20,2.2202156626e-04
3.0000000000e-01,2.0000000000e-01,3,3,9.5217891572e+00,2.9505859337e+00,-5.1685667859e-22,2.2654212028e-04
3.0000000000e-01,2.0000000000e-01,4,4,1.7426301802e+01,3.9639467108e+00,-1.9127435538e-19,7.4622331756e-05
3.0000000000e-01,3.0000000000e-01,2,2,3.4021002160e+00,,,
3.0000000000e-01,3.0000000000e-01,3,2,9.5248006198e+00,,,
3.0000000000e-01,3.0000000000e-01,3,3,9.2840133346e+00,2.8871400475e+00,1.8328130371e-27,1.1818699558e-03
3.0000000000e-01,3.0000000000e-01,4,4,1.7141170617e+01,3.9184518677e+00,-3.8220863479e-19,3.8704603307e-04
3.0000000000e-01,4.0000000000e-01,2,2,3.2037086300e+00,1.9999999997e+00,7.7298077105e-10,1.2467854317e-02
