a,omega,l,m,lambda,ref_ratio,calc_ratio,diff
0.0,0.1,2,2,4.0,6.6583397264e-05,6.658338753749723e-05,9.726502765640584e-12
0.0,0.1,3,2,10.0,1.3332666716e-05,1.333266671627172e-05,2.71719699149707e-16
0.0,0.1,3,3,10.0,1.3332666716e-05,1.333266671627172e-05,2.71719699149707e-16
0.0,0.1,4,4,18.0,4.4444197533e-06,4.4444197532903105e-06,9.689209883641942e-18
0.0,0.2,2,2,4.0,0.0010610294002,0.0010609124827860978,1.169174139023163e-07
0.0,0.2,3,2,10.0,0.00021329067588,0.00021329067169411739,4.1858826246767705e-12
0.0,0.2,3,3,10.0,0.00021329067588,0.00021329067169411739,4.1858826246767705e-12
0.0,0.2,4,4,18.0,7.1109530917e-05,7.110953091665153e-05,3.484761307639972e-16
0.0,0.3,2,2,4.0,0.004023369364,0.005191897697566732,0.0011685283335667318
0.0,0.3,3,2,10.0,0.0010795130861,0.0010795087214729583,4.364627041730795e-09
0.0,0.3,3,3,10.0,0.0010795130861,0.0010795087214729583,4.364627041730795e-09
0.0,0.3,4,4,18.0,0.0003599820014,0.00035998200099843735,4.015626806769257e-13
0.0,0.4,2,2,4.0,0.011810821027,0.009320474019743846,0.0024903470072561544
0.0,0.4,3,2,10.0,0.0034105242095,0.0034094572164246736,1.0669930753264868e-06
0.0,0.4,3,3,10.0,0.0034105242095,0.0034094572164246736,1.0669930753264868e-06
0.0,0.4,4,4,18.0,0.0011376766885,0.0011376765322181404,1.5628185963227625e-10
0.0,0.5,2,2,4.0,0.024320990006,0.005030064630108533,0.019290925375891468
0.0,0.5,3,2,10.0,0.0073436919675,0.008205778702510358,0.0008620867350103579
0.0,0.5,3,3,10.0,0.0073436919675,0.008205778702510358,0.0008620867350103579
0.0,0.5,4,4,18.0,0.002777399137,0.0027773727924693863,2.6344530613866407e-08
0.3,0.1,2,2,3.8002365105,6.9300245001e-05,6.930022715900298e-05,1.7841997017732474e-11
0.3,0.1,3,2,9.8405333707,1.3602433401e-05,1.3602433400627479e-05,3.7252170207065227e-16
0.3,0.1,3,3,9.7604486473,1.3739695746e-05,1.373969574552899e-05,4.710096109796988e-16
0.3,0.1,4,4,17.712576383,4.5526256136e-06,4.552625613461377e-06,1.3862287104879703e-16
0.3,0.2,2,2,3.6009397245,0.0011491659759,0.001149167847022774,1.871122773866238e-09
0.3,0.2,3,2,9.6821335748,0.00022202156626,0.00022202156701932416,7.593241627915776e-13
0.3,0.2,3,3,9.5217891572,0.00022654212028,0.00022654212155418738,1.2741873799560627e-12
0.3,0.2,4,4,17.426301802,7.4622331756e-05,7.462233175998859e-05,3.988590057193986e-15
0.3,0.3,2,2,3.402100216,,0.005979921450673196,
0.3,0.3,3,2,9.5248006198,,0.0011465525536920981,
0.3,0.3,3,3,9.2840133346,0.0011818699558,0.0011818708097094768,8.53909476765044e-10
0.3,0.3,4,4,17.141170617,0.00038704603307,0.00038704603331121424,2.4121422090642164e-13
0.3,0.4,2,2,3.20370863,0.012467854317,0.016243947586080925,0.0037760932690809254
0.3,0.4,3,2,9.368534336,0.0036960716713,0.0036959963879450806,7.528335491937752e-08
0.3,0.4,3,3,9.0471129236,0.003849094789,0.0038491657427582693,7.095375826942849e-08
0.3,0.4,4,4,16.85717712,0.0012533938066,0.0012533938361924842,2.959248427900074e-11
0.3,0.5,2,2,3.0057556875,0.046708157811,0.012147070793547172,0.034561087017452835
0.3,0.5,3,2,9.2133343732,0.0075011894923,0.009181741682589164,0.0016805521902891639
0.3,0.5,3,3,8.8110796095,0.0096736934319,0.00967439997090078,7.065390007793965e-07
0.3,0.5,4,4,16.574315534,0.0031357240799,0.003135725245762603,1.1658626030731922e-09
0.5,0.1,2,2,3.6673207138,7.1180013674e-05,7.117989122551275e-05,1.2244848724926073e-10
0.5,0.1,3,2,9.7348149656,1.3785823469e-05,1.3785823469189555e-05,1.8955411513425086e-16
0.5,0.1,3,3,9.6012437293,1.4019098277e-05,1.4019098274731618e-05,2.2683813378013284e-15
0.5,0.1,4,4,17.521599339,4.6265063928e-06,4.626506392606468e-06,1.9353178185455705e-16
0.5,0.2,2,2,3.335920378,0.0012123901814,0.0012122337918345956,1.5638956540452859e-07
0.5,0.2,3,2,9.472593353,0.00022807476589,0.00022807476603737154,1.473715355478078e-13
0.5,0.2,3,3,9.2049496724,0.00023590928333,0.00023590927410102288,9.228977120284004e-12
0.5,0.2,4,4,17.046379992,7.7079080689e-05,7.707908069084486e-05,1.8448648641741783e-15
0.5,0.3,2,2,3.0057556875,0.0046404595676,0.006499627144037862,0.001859167576437862
0.5,0.3,3,2,9.2133343732,0.0011939593901,0.001193959889609622,4.995096220331008e-10
0.5,0.3,3,3,8.8110796095,0.0012563812435,0.001256381540674925,2.971749248591171e-10
0.5,0.3,4,4,16.574315534,0.00040643608832,0.00040643608906811875,7.481187436035597e-13
0.5,0.4,2,2,2.676783935,0.013032604761,0.02082311841887249,0.00779051365787249
0.5,0.4,3,2,8.957035835,0.0039020823253,0.0039021426701768285,6.034487682856152e-08
0.5,0.4,3,3,8.4195948733,0.0041778032033,0.004178045469006455,2.422657064552261e-07
0.5,0.4,4,4,16.105379027,0.0013383340439,0.0013383342144779996,1.7057799964192988e-10
0.5,0.5,2,2,2.3489630694,,0.02638746581628509,
0.5,0.5,3,2,8.7036941037,,0.0098479049056152,
0.5,0.5,3,3,8.0304563782,0.01071024104,0.010733581095098657,2.3340055098656706e-05
0.5,0.5,4,4,15.639543026,0.0034052282822,0.0034052396687728184,1.1386572818308793e-08
0.7,0.1,2,2,3.5346095432,7.3116849997e-05,7.311641420170749e-05,4.3579529251220293e-10
0.7,0.1,3,2,9.6295707233,1.3972114892e-05,1.3972114890705584e-05,1.2944154212032877e-15
0.7,0.1,3,3,9.4424327708,1.4305139465e-05,1.4305139449864475e-05,1.513552500833574e-14
0.7,0.1,4,4,17.331131311,4.7018178593e-06,4.701817859159865e-06,1.4013482485964596e-16
0.7,0.2,2,2,3.071691833,0.0010896410971,0.0012790639594028313,0.0001894228623028312
0.7,0.2,3,2,9.2649492432,0.00023432271395,0.00023432270972625758,4.223742422438878e-12
0.7,0.2,3,3,8.8896615523,0.00024572953983,0.00024572945098565245,8.88443475689435e-11
0.7,0.2,4,4,16.66847732,7.9632535972e-05,7.963253596224778e-05,9.752222358654083e-15
0.7,0.3,2,2,2.6111290244,0.0049479415118,0.007044319164130099,0.0020963776523300988
0.7,0.3,3,2,8.9061310863,0.0012436921926,0.0012436918619927605,3.306072395015125e-10
0.7,0.3,3,3,8.3415807328,0.0013364069666,0.0013363889889689887,1.7977631011243875e-08
0.7,0.3,4,4,16.011964673,0.0004269898529,0.0004269898506002146,2.2997853621475883e-12
0.7,0.4,2,2,2.1528057473,0.013496899545,0.0240011951323463,0.0105042955873463
0.7,0.4,3,2,8.5531062668,0.0041218152676,0.004121842121448034,2.68538480332689e-08
0.7,0.4,3,3,7.798083071,0.0045406683012,0.0045397179345127905,9.503666872096722e-07
0.7,0.4,4,4,15.361518063,0.0014301831942,0.0014301835588912707,3.646912706718741e-10
0.7,0.5,2,2,1.6966094016,0.021203896093,0.05598832350471564,0.03478442741171564
0.7,0.5,3,2,8.2058590864,0.010550162417,0.01055414500108068,3.982584080679252e-06
0.7,0.5,3,3,7.2590598601,0.0081565319461,0.011917758933655095,0.0037612269875550945
0.7,0.5,4,4,14.717060251,0.0037025560575,0.00370260792746515,5.186996514987621e-08
0.9,0.1,2,2,3.402100216,7.5112848153e-05,7.511165833867545e-05,1.1898143245523069e-09
0.9,0.1,3,2,9.5248006198,1.4161364786e-05,1.4161364783947246e-05,2.0527538544846957e-15
