a,omega,l,m,lambda,ref,r_match,calc_ratio,rel_err
0.0,0.5,2,2,4.0,0.024321,6.0,0.005030064630312232,79.31801887129546
0.0,0.5,2,2,4.0,0.024321,8.0,0.005030064630108533,79.318018872133
0.0,0.5,2,2,4.0,0.024321,10.0,0.00503006463083561,79.31801886914349
0.0,0.5,2,2,4.0,0.024321,12.0,0.005030064625259382,79.31801889207112
0.0,0.5,2,2,4.0,0.024321,15.0,0.005030064618973576,79.31801891791629
0.0,0.5,2,2,4.0,0.024321,20.0,0.005030064591905804,79.31801902921013
0.3,0.5,2,2,3.0058,0.046708,6.0,0.012147258615623805,73.99319470835017
0.3,0.5,2,2,3.0058,0.046708,8.0,0.012147258614498531,73.99319471075934
0.3,0.5,2,2,3.0058,0.046708,10.0,0.012147258616784914,73.99319470586427
0.3,0.5,2,2,3.0058,0.046708,12.0,0.012147258587261005,73.99319476907381
0.3,0.5,2,2,3.0058,0.046708,15.0,0.012147258561643974,73.99319482391886
0.3,0.5,2,2,3.0058,0.046708,20.0,0.012147258391178518,73.99319518887874
0.5,0.5,2,2,2.349,,6.0,0.026387684757998513,
0.5,0.5,2,2,2.349,,8.0,0.02638768474550953,
0.5,0.5,2,2,2.349,,10.0,0.026387684751247455,
0.5,0.5,2,2,2.349,,12.0,0.026387684608795668,
0.5,0.5,2,2,2.349,,15.0,0.026387684553635285,
0.5,0.5,2,2,2.349,,20.0,0.026387683882888566,
0.7,0.5,2,2,1.6966,0.021204,6.0,0.055988434070543165,164.04656701821904
0.7,0.5,2,2,1.6966,0.021204,8.0,0.05598843403749252,164.04656686234918
0.7,0.5,2,2,1.6966,0.021204,10.0,0.05598843404455785,164.0465668956699
0.7,0.5,2,2,1.6966,0.021204,12.0,0.05598843381522889,164.0465658141336
0.7,0.5,2,2,1.6966,0.021204,15.0,0.05598843350650664,164.04656435817128
0.7,0.5,2,2,1.6966,0.021204,20.0,0.05598843209408774,164.0465576970748
0.9,0.5,2,2,1.0484,0.036414,6.0,0.07156775992628657,96.5391330979474
0.9,0.5,2,2,1.0484,0.036414,8.0,0.07156775990103903,96.5391330286127
0.9,0.5,2,2,1.0484,0.036414,10.0,0.07156775986044459,96.53913291713238
0.9,0.5,2,2,1.0484,0.036414,12.0,0.07156775979354937,96.53913273342496
0.9,0.5,2,2,1.0484,0.036414,15.0,0.07156775924573312,96.53913122901389
0.9,0.5,2,2,1.0484,0.036414,20.0,0.07156775820775962,96.53912837853468
0.9,0.4,2,2,1.6316,0.014172,6.0,0.026729231930424202,88.60592668941717
0.9,0.4,2,2,1.6316,0.014172,8.0,0.02672923193032516,88.60592668871831
0.9,0.4,2,2,1.6316,0.014172,10.0,0.02672923193367109,88.60592671232776
0.9,0.4,2,2,1.6316,0.014172,12.0,0.02672923190285294,88.60592649486975
0.9,0.4,2,2,1.6316,0.014172,15.0,0.026729231925222967,88.60592665271638
0.9,0.4,2,2,1.6316,0.014172,20.0,0.02672923168459318,88.6059249547924
